course_name,course_category,course_link,course_duration
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Science,/course/fundamentals-neuroscience-part-1-electrical-properties-neuron?delta=0,5 weeks long
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Education & Teaching,/course/introduction-data-wise-collaborative-process-improve-learning-teaching?delta=0,10 weeks long
Monteverdi’s L’Orfeo and the Birth of Opera,Art & Design,/course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=0,3 weeks long
Handel's Messiah and Baroque Oratorio,Art & Design,/course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio?delta=0,3 weeks long
Beethoven's 9th Symphony and the 19th Century Orchestra,Art & Design,/course/first-nights-beethoven%E2%80%99s-9th-symphony-and-19th-century-orchestra?delta=0,3 weeks long
Backyard Meteorology: The Science of Weather,Science,/course/backyard-meteorology-science-weather?delta=0,6 weeks long
Shakespeare’s Othello: The Moor,Humanities,/course/shakespeares-othello-moor?delta=0,3 weeks long
"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Art & Design,/course/first-nights-igor-stravinsky%E2%80%99s-rite-spring-modernism-ballet-and-riots?delta=0,3 weeks long
Energy Within Environmental Constraints,Science,/course/energy-within-environmental-constraints?delta=0,10 weeks long
Using Python for Research,Computer Science,/course/using-python-research?delta=0,5 weeks long
The Health Effects of Climate Change,Health & Medicine,/course/health-effects-climate-change?delta=0,7 weeks long
"Principles, Statistical and Computational Tools for Reproducible Science",Data Science,/course/principles-statistical-and-computational-tools-reproducible-science?delta=0,8 weeks long
Data Science: Probability,Data Science,/course/data-science-probability?delta=0,8 weeks long
Data Science: Inference and Modeling,Data Science,/course/data-science-inference-and-modeling?delta=0,8 weeks long
Data Science: Productivity Tools,Data Science,/course/data-science-productivity-tools?delta=0,8 weeks long
course_name,course_category,course_link,course_duration
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Science,https://online-learning.harvard.edu//course/fundamentals-neuroscience-part-1-electrical-properties-neuron?delta=0,5 weeks long
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Education & Teaching,https://online-learning.harvard.edu//course/introduction-data-wise-collaborative-process-improve-learning-teaching?delta=0,10 weeks long
Monteverdi’s L’Orfeo and the Birth of Opera,Art & Design,https://online-learning.harvard.edu//course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=0,3 weeks long
Handel's Messiah and Baroque Oratorio,Art & Design,https://online-learning.harvard.edu//course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio?delta=0,3 weeks long
Beethoven's 9th Symphony and the 19th Century Orchestra,Art & Design,https://online-learning.harvard.edu//course/first-nights-beethoven%E2%80%99s-9th-symphony-and-19th-century-orchestra?delta=0,3 weeks long
Backyard Meteorology: The Science of Weather,Science,https://online-learning.harvard.edu//course/backyard-meteorology-science-weather?delta=0,6 weeks long
Shakespeare’s Othello: The Moor,Humanities,https://online-learning.harvard.edu//course/shakespeares-othello-moor?delta=0,3 weeks long
"Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Art & Design,https://online-learning.harvard.edu//course/first-nights-igor-stravinsky%E2%80%99s-rite-spring-modernism-ballet-and-riots?delta=0,3 weeks long
Energy Within Environmental Constraints,Science,https://online-learning.harvard.edu//course/energy-within-environmental-constraints?delta=0,10 weeks long
Using Python for Research,Computer Science,https://online-learning.harvard.edu//course/using-python-research?delta=0,5 weeks long
The Health Effects of Climate Change,Health & Medicine,https://online-learning.harvard.edu//course/health-effects-climate-change?delta=0,7 weeks long
"Principles, Statistical and Computational Tools for Reproducible Science",Data Science,https://online-learning.harvard.edu//course/principles-statistical-and-computational-tools-reproducible-science?delta=0,8 weeks long
Data Science: Probability,Data Science,https://online-learning.harvard.edu//course/data-science-probability?delta=0,8 weeks long
Data Science: Inference and Modeling,Data Science,https://online-learning.harvard.edu//course/data-science-inference-and-modeling?delta=0,8 weeks long
Data Science: Productivity Tools,Data Science,https://online-learning.harvard.edu//course/data-science-productivity-tools?delta=0,8 weeks long
course_name,course_category,course_link,course_duration
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Science,https://online-learning.harvard.edu//course/fundamentals-neuroscience-part-1-electrical-properties-neuron?delta=0,5 weeks long
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Education & Teaching,https://online-learning.harvard.edu//course/introduction-data-wise-collaborative-process-improve-learning-teaching?delta=0,10 weeks long
Monteverdi’s L’Orfeo and the Birth of Opera,Art & Design,https://online-learning.harvard.edu//course/first-nights-monteverdi%E2%80%99s-l%E2%80%99orfeo-and-birth-opera?delta=0,3 weeks long
Handel's Messiah and Baroque Oratorio,Art & Design,https://online-learning.harvard.edu//course/first-nights-handel%E2%80%99s-messiah-and-baroque-oratorio?delta=0,3 weeks long
